,title,year,certificate,duration,genre,rating,description,votes
598,I Care a Lot,(2020),R,118 min,"Comedy, Crime, Drama",6.3,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,"131,838"
599,To Kill a Mockingbird,(1962),Approved,129 min,"Crime, Drama",8.3,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.","315,380"
600,Unbreakable Kimmy Schmidt,(2015–2019),TV-14,30 min,Comedy,7.6,A woman is rescued from a doomsday cult and starts life over again in New York City.,"72,009"
601,Munich: The Edge of War,(2021),PG-13,130 min,"Biography, Drama, History",6.8,"A British diplomat travels to Munich in the run-up to World War II, where a former classmate of his from Oxford is also en route, but is working for the German government.","29,870"
602,Kim's Convenience,(2016–2021),TV-14,22 min,Comedy,8.2,The misadventures of a Korean-Canadian family running a convenience store.,"18,672"
603,The Chestnut Man,(2021– ),TV-MA,50 min,"Crime, Drama, Mystery",7.7,A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.,"44,386"
604,Security,(I) (2017),R,88 min,"Action, Crime, Thriller",5.7,A security guard protects an eleven year-old girl who is being targeted by a gang for participating as a trial witness.,"19,286"
605,Lilo & Stitch,(2002),PG,85 min,"Animation, Adventure, Comedy",7.3,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.","190,010"
606,Perfect Blue,(1997),R,81 min,"Animation, Crime, Drama",8.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.","75,641"
607,The Boondocks,(2005–2014),TV-MA,22 min,"Animation, Action, Comedy",8.5,"Adventures of two boys, Riley and Huey Freeman, who undergo a culture clash when they move from Chicago to the suburbs to live with their grandfather.","30,847"
608,The Firm,(1993),R,154 min,"Drama, Mystery, Thriller",6.8,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,"135,029"
609,Another Self,(2022– ),TV-MA,50 min,"Drama, Romance",6.3,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,"3,124"
610,Mob Psycho 100,(2016– ),TV-14,24 min,"Animation, Action, Comedy",8.6,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","30,081"
611,The Invisible Guest,(2016),TV-MA,106 min,"Crime, Drama, Mystery",8.0,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,"174,610"
612,Glitch,(2015–2019),TV-MA,45 min,"Drama, Horror, Sci-Fi",7.2,Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,"18,276"
613,Night Teeth,(2021),TV-14,107 min,"Action, Crime, Drama",5.6,"A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive.","18,285"
614,Jurassic Park III,(2001),PG-13,92 min,"Action, Adventure, Sci-Fi",5.9,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.","321,937"
615,Bad Teacher,(2011),R,92 min,"Comedy, Romance",5.6,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.","203,437"
616,The Snowman,(2017),R,119 min,"Crime, Drama, Thriller",5.1,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,"64,629"
617,Fuller House,(2016–2020),TV-G,30 min,"Comedy, Family",6.7,"In a continuation of Full House (1987), D.J. Fuller is a mother of three young boys and is a recent widow. D.J.'s sister Stephanie, her best friend Kimmy and Kimmy's teenage daughter all move in to help raise her sons. The house is now a lot fuller.","27,643"
618,The Kissing Booth,(2018),TV-14,105 min,"Comedy, Romance",5.9,A high school student is forced to confront her secret crush at a kissing booth.,"83,980"
619,No One Gets Out Alive,(2021),R,87 min,"Drama, Horror, Mystery",5.3,"After being forced to take a room in a boardinghouse, an immigrant in search of the American Dream finds herself in a nightmare she can't escape.","15,996"
620,Ludik,(2022– ),TV-MA,60 min,"Crime, Drama",5.4,"To save a kidnapped family member, an enterprising furniture tycoon must use his secret diamond smuggling operation to transport guns across the border.",412
621,Conan the Barbarian,(2011),R,113 min,"Action, Adventure, Fantasy",5.1,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.,"99,364"
622,Troll,(2022),,,"Action, Adventure, Fantasy",,"Deep in the Dovre mountain, something gigantic wakes up after a thousand years in captivity. The creature destroys everything in its path and quickly approaches Oslo.",
623,The Weekend Away,(2022),TV-14,89 min,"Crime, Drama, Mystery",5.6,"A weekend getaway to Croatia that goes awry when a woman is accused of killing her best friend. As she attempts to clear her name and uncover the truth, her efforts unearth a painful secret.","23,932"
624,1922,(2017),TV-MA,102 min,"Crime, Drama, Horror",6.2,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.","63,582"
625,A Jazzman's Blues,(2022),R,127 min,Drama,6.0,"Follows an investigation into an unsolved murder unveiling a story full of forbidden love, deceit and a secret.",189
626,Ash vs Evil Dead,(2015–2018),TV-MA,30 min,"Action, Comedy, Fantasy",8.4,"Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.","73,097"
627,The Fate of the Furious,(2017),PG-13,136 min,"Action, Crime, Thriller",6.6,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","231,142"
628,Warrior Nun,(2020– ),TV-MA,,"Action, Drama, Fantasy",6.9,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.","31,190"
629,Kingdom,(2014–2017),TV-MA,43 min,"Drama, Sport",8.5,A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.,"18,196"
630,Versailles,(2015–2018),TV-MA,52 min,"Biography, Drama, History",7.9,"In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things.","16,726"
631,Code Geass,(2006–2008),TV-14,24 min,"Animation, Action, Drama",8.7,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.","67,510"
632,My Neighbor Totoro,(1988),G,86 min,"Animation, Comedy, Family",8.1,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","335,557"
633,Green Room,(2015),R,95 min,"Crime, Drama, Horror",7.0,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,"123,286"
634,The Last Dance,(2020),TV-MA,491 min,"Documentary, Biography, History",9.1,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","119,768"
635,Serendipity,(2001),PG-13,90 min,"Comedy, Romance",6.8,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.","113,554"
636,Blue Mountain State,(2010–2011),TV-MA,22 min,"Comedy, Sport",8.3,"Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.","53,845"
637,Black Summer,(2019–2021),TV-MA,40 min,"Action, Drama, Horror",6.5,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.","29,824"
638,127 Hours,(2010),R,94 min,"Biography, Drama",7.6,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","375,723"
639,The Founder,(2016),PG-13,115 min,"Biography, Drama",7.2,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.","150,116"
640,Black Crab,(2022),TV-MA,114 min,"Action, Adventure, Drama",5.6,"In a post-apocalyptic world, six soldiers on a covert mission must transport a mysterious package across a frozen archipelago. Noomi Rapace stars.","20,283"
641,12 Monkeys,(2015–2018),TV-14,42 min,"Adventure, Drama, Mystery",7.7,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,"44,864"
642,Extraction 2,(2023),,,"Action, Thriller",,Sequel to the 2020 action thriller 'Extraction'.,
643,Murder Mystery,(2019),PG-13,97 min,"Action, Comedy, Crime",6.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","127,206"
644,Dota: Dragon's Blood,(2021– ),TV-MA,25 min,"Animation, Action, Adventure",7.8,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.","19,110"
645,Havoc,(2022),,,"Action, Thriller",,"The story is set after a drug deal gone wrong, when a bruised detective must fight his way through a criminal underworld to rescue a politician's estranged son, while unraveling a deep web ...                See full summary »",
646,The Defenders,(2017),TV-MA,50 min,"Action, Adventure, Crime",7.2,"Set a few months after the events of the second season of Daredevil, and a month after the events of Iron Fist, the vigilantes Daredevil, Jessica Jones, Luke Cage, and Iron Fist team up in New York City to fight a common enemy: The Hand.","106,814"
647,Manhunt,(II) (2017– ),TV-14,60 min,"Biography, Crime, Drama",8.1,"An in-depth look at how an FBI profiler helped track down the terrorist Ted Kaczynski, the Unabomber.","59,078"
648,Hunt for the Wilderpeople,(2016),PG-13,101 min,"Adventure, Comedy, Drama",7.8,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,"130,345"
